id,text,label,annotator1,annotator2,source
1,"Có thể đây là cốc trà sữa cốm lạ nhất mà mình từng được uống, ko biết do dùng trà hương hoa hay sao mà cốc này thơm kiểu rất dễ chịu. Không bị nồng mùi sữa. Cốm dẻo, topping nhãn ngon nha",POS,POS,POS,
2,"Bán hàng không đúng với đơn đặt, không phản hồi. Coi thường khách hàng.",NEG,NEG,NEG,
3,"Lần nào cũng phải ăn xuất đầy đủ nó mới vừa cái bụng mình ,ăn sạch sẽ ko sót miếng nào luôn ,rất thích bún đậu của quán",NEU,NEU,POS,
4,"Ăn ổn nha mấy ***,đặt trên app có mã nên giá cũng hợp lý",POS,POS,POS,
5,"Ngon thía ,ăn ko còn miếng nào luôn ,bún đậu nhớ phải mua kèm trà tắc ăn cho đỡ ngán nhé",POS,POS,POS,
6,"Nắng nóng quá trời ăn tạm xuất bún đậu cho qua bữa ,may mà gọi đc quán ngon ăn đỡ ngán",POS,POS,POS,
7,"Ăn 1 xuất đầy đủ no đến tối luôn ,rất ngon nha mn nên ăn thử quán này",POS,POS,POS,
8,"Ngon ,đóng hộp cẩn thận ,mn nên ăn thử ạ",POS,POS,POS,
9,"Cty mình chuyên đặt bún ở đây ,ăn khá ổn ,mn ai cũng khen",NEU,NEU,POS,
10,"Thấy trên app có mã giảm ăn thử mà ngon nha ,thích nhất mắm tôm quán pha ngon quá trời luôn",POS,POS,POS,
11,"Ăn bao nhiêu lần mà hnay mới cho quán 5* được ,ngon lắm ạ ,chất lượng rất đều ,đóng hộp cẩn thận ,ăn 1 lần là nghiện",POS,POS,POS,
12,"Ăn lần đầu đc 1 quán bún đậu ưng như này ,ngon lắm ạ",POS,POS,POS,
13,"Đậu rán chấm mắm tôm đúng là tuyệt phẩm ,ăn nó cuốn thật khó tả ***có nhiều món ngon thật sự",POS,POS,POS,
14,"Ngon ,ăn nhẵn ko chừa miếng nào ,rất hợp khẩu vị của tôi",POS,POS,POS,
15,"Chả cốm của quán ngon cực ,ăn béo béo ngậy ngậy rất hợp với bún mắm tôm",POS,POS,POS,
16,"Cty mình hay gọi bún đậu của quán này ,chất lượng đều lần nào đặt cũng ngon",POS,POS,POS,
17,"Tuyệt đối ngon ,đậu phụ quán rán kiểu j nhức néc thế chấm với mắm tôm nó cuốn rì đâu à ,thi thoảng lại phải ăn vì thèm",POS,POS,POS,
18,"Ngon quá phải review liền ,đây là lần thứ 5 ăn của quán này rồi ,vẫn rất ưng ko có j để chê",POS,POS,POS,
19,"Ăn quen quán này là ko muốn đổi quán khác ,đóng gói đầy đủ cẩn thận ,thích nhất món đậu rán quán rán kiểu gì rất ngon",POS,POS,POS,
20,"Ngon nhắm nhuôn ấy ,ăn ko xót miếng nào ,thi thoảng lại phải ăn vì quán có chất gây nghiện cho khách",POS,POS,POS,
21,"Ăn quen quán bún này là ko muốn đổi luôn ,hợp khẩu vị vô cùng",POS,POS,POS,
22,"Đề xuất cho mn 1 quán bún đậu ngon nhức néc nè ,sạch sẽ vô cùng tự tin ăn thử đi mn ơi",POS,POS,POS,
23,"Ngon xỉu luôn ,làm khách ruột của quán luôn rồi ,ko có gì để chê",POS,POS,POS,
25,Bao năm chỉ nghiện ăn ở đây . Siêu ngon,POS,POS,POS,
26,"Quán làm càng ngày càng ko ngon ko tươi, trước ăn mỳ tôm rất ngon hôm nay ăn tôm như ăn đậu.",NEG,NEG,NEG,
27,"Mình thấy đồ ăn ở đây khá ngon, hợp khẩu vị. Nhân viên phục vụ và các anh bảo vệ nhanh nhẹn, hoạt bát, thân thiên với khách. Rất muốn đến đây nhiều lần nữa.",POS,POS,POS,
28,"Quán dimsum giá tầm trung ~150-200k/ người là no phủ phê. Chất lượng thì tuỳ theo món gọi nhưng nhìn chung các món đều chấp nhận được Mình chỉ chưa ưng phong cách phục vụ ở đây: đồ được đưa lên hết cùng một lúc nên rất nhanh nguội, nếu tinh tế hơn thì nên đưa 2 món từng lần để khách kịp thưởng thức đồ ăn nóng hổi Trước làm gần đây mình hay ghé qua ăn trưa, lâu lâu quay lại ăn tối, no phè phỡn mà chả hỉu sao sáng hôm sau đau bụng hic hic, chả lẽ do ăn nhèo, hay là do...😑",POS,POS,NEG,
29,"Quán ngay gần nhà mà ít đi ăn quá, mãi vẫn chưa thử hết các vị. Menu tầm 8 9 loại mì khác nhau như hoành thánh, tim cật, bò kho, vịt hầm.... giá cả tầm 50-60k/ bát, ăn ngon ngon rất là oki.",POS,POS,POS,
30,Gọi mỳ vịt tiềm. Trong quán có điều hoà ngồi mát. Ngoài quán không có mái che để xe nóng. Ăn được. 1 bát mỳ hơi nhiều. Để đi 2 người rồi gọi thêm 1 đĩa gì đó cả 2 cùng ăn sẽ hợp hơn.,NEU,NEU,POS,
31,"Thất vọng, xem review hy vọg tràn trề đc ăn bát hủ tiếu đúg kiểu sài gòn, đợi 1 tiếg đồg hồ đến 5h mở cửa cuối cùg ra hai bát 1 mì 1 hủ tíu bát nào cũg nhạt nhách, nhạt kih khủg. Và lèo tèo vô cùg, bát 5-60k thì cũg phải nên đầy đặn chứ, đã dỡ còn ít, đến phần bánh cuốn tôm, thì mih cũg ko hỉu đc sau bìh luận toàn khen nữa, nuớc sốt bánh cuốn như mùi chất hoá học, chưa bao giờ ăn gì khiến mih có cảm giác buồn nôn đến như vậy",NEG,NEG,NEG,
32,"Mì vằn thắn ngon tuyệt vời, có sủi cảo, tóp mỡ, thịt mềm mỡ nạc vừa phải.Dimsum cũng ngon Mùa hè điều hoà mát lạnh.
Mì 9,5/10đ",POS,POS,POS,
33,"Cảm quan mình thấy mì ở đây nước dùng rất ngon, ngọt xương, đậm đà, một bát mì không nhiều ú ụ nhưng vừa vặn đủ no. Gợi nhớ cảm giác đang ăn mì/hủ tiếu trong Sài Gòn. Mình mê nhất là mì cật heo vì mỗi bát cho nguyên cả cái cật heo trần vừa tới, cực kỳ chất lượng. Nước sâm và nước quýt cũng ngon, thanh mát. Nhân viên nhanh nhẹn lễ phép. Cứ khi nào không nghĩ ra ăn gì là y như rằng hai vợ chồng phi ngay đến đây ăn!",POS,POS,POS,
34,"Ngon ngoài sức tưởng tượng ❤️❤️😭😭 Đồ ăn cực tươi và mới, thịt ngọt, tôm cũng ngọt và bánh bao thì tan chảy trong miệng luôn ấy 😭❤️❤️",POS,POS,POS,
35,Hôm nay mình đi ăn sinh nhật ở đây mình đi 3 nguo ì Mình gọi bánh cuốn tôm khô là ngon tôm tươi bánh mềm mình rất thi Rong biển cuốn khá ngon mình như bên trong có thanh cua hay sao ý Bánh bao kim sa trứng muối ăn cũng ngon có trứng chay hẳn Nước sâm hoi ngọt mình không thik lắm Sườn khá ngon có khoai vụn nước ngọt ngọt Chân gà thì hơi nhạt nên mình không thik lắm chân gà khá mềm Nói chung là đồ ăn khá ngon tôm tươi Quán thường xuyên đông nhưng mà phục vụ rất nhanh mà giá cũng khá rõ mình đi 3 người hết có 490k thôi Quán khá dễ tìm cũng rộng,POS,POS,POS,
36,"- 2 người cminh gọi 2 tô mì vịt tiềm đùi (nguyên đùi). Ở đây họ còn có loại mì vịt tiềm với thịt (họ đã chặt), giá rẻ hơn, và mì xá xíu, mì bò hầm,.. .v..v.. Nhưng mình muốn a thử mì Vịt ở đây xem thế nào. So với bên Mì gia Chợ Lớn ở TVV thì mì ở đây k có hẳn cái xương đùi, mà vì đc chặt ra bỏ cái xương cắm đi rồi :))) Với đc cái là mì ở đây cũng ngọt nước, chứ k bị đắng như nước dùng của bên kia. Nhưng bù lại, ở đây lại k có rau (mà rõ ràng trong menu chụp có rau cải cơ mà ))) 🤣🤣) Lừa đảo ahh ))) Mà 1 bát mì to tướng, mình ăn mãi k hết, fai chia cho bạn bên cạnh mấy đũa mì chứ k con gái sức yếu k ăn đc 😣",POS,POS,POS,
37,"Ăn chơi khu vực này suốt mà ko để ý quán này. Quán be bé nằm khu vực hơi tối tối :)) phía trong thì ko rộng lắm nên đi đông nên đặt bàn trước. Menu khá đa dạng, các món be bé ăn thưởng thức, bánh cuốn tôm ngon ơi là ngon, há cảo và bánh bao okie. Ăn linh tinh xong làm 1 suất mỳ vịt tần nữa là no ú ụ lun. Sẽ quay lại hiiii Giá thì ko rẻ, mỗi ng tầm trên 200k hihiii",NEU,NEU,POS,
